**** All Elevator Calls (time,src,dest,state,elev dt) stage 6 ****
Elevator call,4.993816266014164,-3,27,3,1, Done, dt, 3080.006183733986
Elevator call,18.77917039169597,-4,-3,3,1, Done, dt, 354.22082960830403
Elevator call,19.387078657155826,0,14,3,1, Done, dt, 1656.6129213428442
Elevator call,20.327517520632,0,-2,3,1, Done, dt, 192.672482479368
Elevator call,27.9999732565052,0,30,2,1
Elevator call,29.917239624265676,0,7,2,1
Elevator call,38.28582116015673,-1,45,2,1
Elevator call,39.19202923931175,-1,2,3,1, Done, dt, 3353.8079707606885
Elevator call,39.69710409736126,0,48,2,1
Elevator call,49.43307426313186,0,-1,3,1, Done, dt, 402.56692573686814
Elevator call,54.196436787183075,-2,50,3,1, Done, dt, 568.8035632128169
Elevator call,57.40531969890162,-1,0,3,1, Done, dt, 412.5946803010984
Elevator call,63.05259875982824,-2,0,3,1, Done, dt, 27.947401240171757
Elevator call,79.37736411739434,0,41,3,1, Done, dt, 334.62263588260566
Elevator call,89.4285158976113,-2,28,2,1
Elevator call,92.15048695301039,-4,19,2,1
Elevator call,96.61997031673536,-2,45,2,1
Elevator call,108.64204888088284,0,19,2,1
Elevator call,111.62708145083661,-1,-3,3,1, Done, dt, 549.3729185491634
Elevator call,116.72069026135568,0,24,3,1, Done, dt, 1515.2793097386443
Elevator call,117.93413927793131,0,16,3,1, Done, dt, 2784.0658607220685
Elevator call,133.34539591368775,-4,23,3,1, Done, dt, 1899.6546040863122
Elevator call,134.00355801094793,-2,25,2,1
Elevator call,140.52095248879914,-3,28,2,1
Elevator call,142.07808960138755,-4,1,3,1, Done, dt, 697.9219103986125
Elevator call,146.76293294989182,0,27,3,1, Done, dt, 2938.237067050108
Elevator call,147.44392615224183,-3,33,3,1, Done, dt, 2690.556073847758
Elevator call,151.6163012890247,-3,3,3,1, Done, dt, 1391.3836987109753
Elevator call,159.17766514162577,0,26,3,1, Done, dt, 2851.8223348583742
Elevator call,170.15712188664338,-2,42,2,1
Elevator call,173.25392580462358,1,3,3,1, Done, dt, 1369.7460741953764
Elevator call,174.91394871323018,-1,31,3,1, Done, dt, 1910.0860512867698
Elevator call,177.9146689591314,0,8,3,1, Done, dt, 2934.0853310408684
Elevator call,179.41211574761928,0,48,2,1
Elevator call,188.69360223337299,-2,-3,3,1, Done, dt, 184.30639776662701
